ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce2810,len:0x15a0
load:0x403c8700,len:0x4
load:0x403c8704,len:0xd20
load:0x403cb700,len:0x2f00
entry 0x403c8928
I (27) boot: ESP-IDF v5.4.1 2nd stage bootloader
I (27) boot: compile time Aug 19 2026 19:02:42
I (27) boot: Multicore bootloader
I (27) boot: chip revision: v0.2
I (30) boot: efuse block revision: v1.3
I (33) boot.esp32s3: Boot SPI Speed : 80MHz
I (37) boot.esp32s3: SPI Mode       : DIO
I (41) boot.esp32s3: SPI Flash Size : 16MB
I (45) boot: Enabling RNG early entropy source...
I (49) boot: Partition Table:
I (52) boot: ## Label            Usage          Type ST Offset   Length
I (58) boot:  0 nvs              WiFi data        01 02 00009000 00006000
I (65) boot:  1 phy_init         RF data          01 01 0000f000 00001000
I (71) boot:  2 factory          factory app      00 00 00010000 00100000
I (78) boot: End of partition table
I (81) esp_image: segment 0: paddr=00010020 vaddr=3c020020 size=0b59ch ( 46492) map
I (97) esp_image: segment 1: paddr=0001b5c4 vaddr=3fc92400 size=02a88h ( 10888) load
I (99) esp_image: segment 2: paddr=0001e054 vaddr=40374000 size=01fc4h (  8132) load
I (105) esp_image: segment 3: paddr=00020020 vaddr=42000020 size=1a020h (106528) map
I (130) esp_image: segment 4: paddr=0003a048 vaddr=40375fc4 size=0c33ch ( 49980) load
I (141) esp_image: segment 5: paddr=0004638c vaddr=600fe100 size=0001ch (    28) load
I (147) boot: Loaded app from partition at offset 0x10000
I (147) boot: Disabling RNG early entropy source...
I (159) cpu_start: Multicore app
I (168) cpu_start: Pro cpu start user code
I (168) cpu_start: cpu freq: 160000000 Hz
I (168) app_init: Application information:
I (168) app_init: Project name:     vbat-cal
I (172) app_init: App version:      14b0b05-dirty
I (176) app_init: Compile time:     Aug 19 2026 19:02:39
I (181) app_init: ELF file SHA256:  5ecdd6674...
I (186) app_init: ESP-IDF:          v5.4.1
I (189) efuse_init: Min chip rev:     v0.0
I (193) efuse_init: Max chip rev:     v0.99
I (197) efuse_init: Chip rev:         v0.2
I (201) heap_init: Initializing. RAM available for dynamic allocation:
I (207) heap_init: At 3FC957B8 len 00053F58 (335 KiB): RAM
I (212) heap_init: At 3FCE9710 len 00005724 (21 KiB): RAM
I (218) heap_init: At 3FCF0000 len 00008000 (32 KiB): DRAM
I (223) heap_init: At 600FE11C len 00001ECC (7 KiB): RTCRAM
I (229) spi_flash: detected chip: boya
I (232) spi_flash: flash io: dio
I (235) sleep_gpio: Configure to isolate all GPIO pins in sleep state
I (241) sleep_gpio: Enable automatic switching of GPIO sleep configuration
I (248) main_task: Started on CPU0
I (288) main_task: Calling app_main()
I (288) vbat_cal: ADC calibration: CURVE FITTING (eFuse)

=== RLC VBAT raw ADC readout ===
GPIO 1, ADC1, 12-bit, 12 dB attenuation (same config as rlc_battery.c)
Averaging 64 samples, updating every 500 ms.
ADCMAP_BEGIN,raw,mv
ADCMAP,0,0
ADCMAP,4,3
ADCMAP,8,6
ADCMAP,12,10
ADCMAP,16,13
ADCMAP,20,18
ADCMAP,24,21
ADCMAP,28,25
ADCMAP,32,28
ADCMAP,36,32
ADCMAP,40,36
ADCMAP,44,40
ADCMAP,48,43
ADCMAP,52,47
ADCMAP,56,51
ADCMAP,60,54
ADCMAP,64,58
ADCMAP,68,61
ADCMAP,72,65
ADCMAP,76,69
ADCMAP,80,73
ADCMAP,84,76
ADCMAP,88,80
ADCMAP,92,84
ADCMAP,96,88
ADCMAP,100,91
ADCMAP,104,94
ADCMAP,108,97
ADCMAP,112,102
ADCMAP,116,105
ADCMAP,120,108
ADCMAP,124,112
ADCMAP,128,116
ADCMAP,132,120
ADCMAP,136,123
ADCMAP,140,127
ADCMAP,144,130
ADCMAP,148,134
ADCMAP,152,137
ADCMAP,156,141
ADCMAP,160,144
ADCMAP,164,149
ADCMAP,168,152
ADCMAP,172,156
ADCMAP,176,159
ADCMAP,180,161
ADCMAP,184,166
ADCMAP,188,169
ADCMAP,192,173
ADCMAP,196,176
ADCMAP,200,181
ADCMAP,204,183
ADCMAP,208,187
ADCMAP,212,190
ADCMAP,216,195
ADCMAP,220,198
ADCMAP,224,202
ADCMAP,228,204
ADCMAP,232,208
ADCMAP,236,212
ADCMAP,240,215
ADCMAP,244,219
ADCMAP,248,222
ADCMAP,252,226
ADCMAP,256,229
ADCMAP,260,233
ADCMAP,264,236
ADCMAP,268,240
ADCMAP,272,243
ADCMAP,276,247
ADCMAP,280,251
ADCMAP,284,255
ADCMAP,288,258
ADCMAP,292,262
ADCMAP,296,265
ADCMAP,300,268
ADCMAP,304,272
ADCMAP,308,275
ADCMAP,312,279
ADCMAP,316,282
ADCMAP,320,286
ADCMAP,324,289
ADCMAP,328,293
ADCMAP,332,296
ADCMAP,336,300
ADCMAP,340,302
ADCMAP,344,307
ADCMAP,348,310
ADCMAP,352,313
ADCMAP,356,317
ADCMAP,360,321
ADCMAP,364,325
ADCMAP,368,327
ADCMAP,372,331
ADCMAP,376,334
ADCMAP,380,338
ADCMAP,384,341
ADCMAP,388,345
ADCMAP,392,348
ADCMAP,396,352
ADCMAP,400,355
ADCMAP,404,360
ADCMAP,408,362
ADCMAP,412,365
ADCMAP,416,370
ADCMAP,420,372
ADCMAP,424,376
ADCMAP,428,379
ADCMAP,432,383
ADCMAP,436,386
ADCMAP,440,390
ADCMAP,444,393
ADCMAP,448,398
ADCMAP,452,401
ADCMAP,456,404
ADCMAP,460,407
ADCMAP,464,411
ADCMAP,468,414
ADCMAP,472,417
ADCMAP,476,420
ADCMAP,480,424
ADCMAP,484,428
ADCMAP,488,431
ADCMAP,492,435
ADCMAP,496,438
ADCMAP,500,441
ADCMAP,504,445
ADCMAP,508,449
ADCMAP,512,452
ADCMAP,516,456
ADCMAP,520,458
ADCMAP,524,463
ADCMAP,528,465
ADCMAP,532,468
ADCMAP,536,473
ADCMAP,540,476
ADCMAP,544,480
